Product,Price,Handle,Inventory Management,SKU,Product URL,Scraped at,Description,Hollistic Description,SKUs
The Candy Cane Matching Family Hoodie,1049.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11198426,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11198426, Bundle #11198535, Bundle #11345107, Bundle #11380505, Bundle #11447291, Bundle #11487298: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11198426 BUNDLE-11198535 BUNDLE-11345107 BUNDLE-11380505 BUNDLE-11447291 BUNDLE-11487298
The Candy Cane Matching Family Hoodie,1198.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11479468,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11479468: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11479468
The Candy Cane Matching Family Hoodie,1350.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11357627,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11357627: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11357627
The Candy Cane Matching Family Hoodie,1488.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11201626,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11201626, Bundle #11312164: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11201626 BUNDLE-11312164
The Candy Cane Matching Family Hoodie,1499.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11198213,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11198213: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11198213
The Candy Cane Matching Family Hoodie,1500.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11193974,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11193974, Bundle #11194604, Bundle #11199609, Bundle #11200862, Bundle #11228222: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11193974 BUNDLE-11194604 BUNDLE-11199609 BUNDLE-11200862 BUNDLE-11228222
The Candy Cane Matching Family Hoodie,1648.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11341323,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11341323, Bundle #11353380: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11341323 BUNDLE-11353380
The Candy Cane Matching Family Hoodie,1698.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11083115,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11083115, Bundle #11173734: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11083115 BUNDLE-11173734
The Candy Cane Matching Family Hoodie,1748.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11447329,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11447329, Bundle #11525087: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11447329 BUNDLE-11525087
The Candy Cane Matching Family Hoodie,1749.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11073488,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11073488, Bundle #11093348, Bundle #11100135, Bundle #11102392, Bundle #11106507, Bundle #11118057, Bundle #11134005, Bundle #11144814, Bundle #11162191, Bundle #11179557, Bundle #11193961, Bundle #11208834, Bundle #11219429, Bundle #11228783, Bundle #11240764, Bundle #11631579: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11073488 BUNDLE-11093348 BUNDLE-11100135 BUNDLE-11102392 BUNDLE-11106507 BUNDLE-11118057 BUNDLE-11134005 BUNDLE-11144814 BUNDLE-11162191 BUNDLE-11179557 BUNDLE-11193961 BUNDLE-11208834 BUNDLE-11219429 BUNDLE-11228783 BUNDLE-11240764 BUNDLE-11631579
The Candy Cane Matching Family Hoodie,1949.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11357636,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11357636: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11357636
The Candy Cane Matching Family Hoodie,1997.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11465510,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11465510: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11465510
The Candy Cane Matching Family Hoodie,1998.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11154978,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11154978, Bundle #11199964: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11154978 BUNDLE-11199964
The Candy Cane Matching Family Hoodie,2098.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11357300,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11357300: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11357300
The Candy Cane Matching Family Hoodie,2396.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11358943,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11358943: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11358943
The Candy Cane Matching Family Hoodie,2448.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11110135,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11110135, Bundle #11113626: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11110135 BUNDLE-11113626
The Candy Cane Matching Family Hoodie,2499.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11166235,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11166235, Bundle #11178025, Bundle #11178043, Bundle #11218020, Bundle #11262861: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11166235 BUNDLE-11178025 BUNDLE-11178043 BUNDLE-11218020 BUNDLE-11262861
The Candy Cane Matching Family Hoodie,2748.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11075028,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11075028, Bundle #11103122, Bundle #11105391, Bundle #11105393, Bundle #11105407, Bundle #11137707, Bundle #11192793, Bundle #11193976, Bundle #11198216, Bundle #11202379, Bundle #11203898, Bundle #11204053, Bundle #11216527, Bundle #11223160, Bundle #11252604: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11075028 BUNDLE-11103122 BUNDLE-11105391 BUNDLE-11105393 BUNDLE-11105407 BUNDLE-11137707 BUNDLE-11192793 BUNDLE-11193976 BUNDLE-11198216 BUNDLE-11202379 BUNDLE-11203898 BUNDLE-11204053 BUNDLE-11216527 BUNDLE-11223160 BUNDLE-11252604
The Candy Cane Matching Family Hoodie,3249.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11276794,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11276794: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11276794
The Candy Cane Matching Family Hoodie,3447.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11113640,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11113640: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11113640
The Candy Cane Matching Family Hoodie,3498.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11173124,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11173124, Bundle #11182135, Bundle #11182881, Bundle #11186049, Bundle #11199923, Bundle #11200866, Bundle #11201680, Bundle #11205812, Bundle #11206832, Bundle #11221768: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11173124 BUNDLE-11182135 BUNDLE-11182881 BUNDLE-11186049 BUNDLE-11199923 BUNDLE-11200866 BUNDLE-11201680 BUNDLE-11205812 BUNDLE-11206832 BUNDLE-11221768
The Candy Cane Matching Family Hoodie,3747.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11170304,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,"The Candy Cane Matching Family Hoodie - Bundle #11170304, Bundle #11192860, Bundle #11198184: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products",BUNDLE-11170304 BUNDLE-11192860 BUNDLE-11198184
The Candy Cane Matching Family Hoodie,3996.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11185819,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11185819: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11185819
The Candy Cane Matching Family Hoodie,4446.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11113430,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11113430: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11113430
The Candy Cane Matching Family Hoodie,7692.0,the-candy-cane-matching-family-hoodie,shopify,BUNDLE-11172777,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie,2026/02/22 12:55:50 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11172777: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.bundlebuilder.app/hc/en-gb/articles/4409557939473-Dummy-products,BUNDLE-11172777
The Candy Cane Matching Family Hoodie,1749.0,the-candy-cane-matching-family-hoodie-1,shopify,BUNDLE-11684331,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie-1,2026/02/22 12:55:44 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.kitenzo.com/en/articles/9561154-dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11684331: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.kitenzo.com/en/articles/9561154-dummy-products,BUNDLE-11684331
The Candy Cane Matching Family Hoodie,1998.0,the-candy-cane-matching-family-hoodie-1,shopify,BUNDLE-11967728,https://applemintandcocoa.com//products/the-candy-cane-matching-family-hoodie-1,2026/02/22 12:55:44 PM,This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.kitenzo.com/en/articles/9561154-dummy-products,The Candy Cane Matching Family Hoodie - Bundle #11967728: This is a dummy product andmust not be deleted or altered. Dummy products are essential for the Bundle Builder app to function. Learn more here: https://support.kitenzo.com/en/articles/9561154-dummy-products,BUNDLE-11967728
The Cashmere Teddy Fleece Baby Romper,695.0,the-cashmere-teddy-fleece-baby-romper,shopify,nan,https://applemintandcocoa.com//products/the-cashmere-teddy-fleece-baby-romper,2026/02/22 12:55:47 PM,Key Features: 100% Polyester extra warm plush fleece fabric. Bunny ears for extra cuteness. Roomy crotch. Full Body length zipper for easy diaper changes. Lined Hood.,"The Cashmere Teddy Fleece Baby Romper - 0-3, 3-6, 6-9, 9-12, 12-18, 18-24: Key Features: 100% Polyester extra warm plush fleece fabric. Bunny ears for extra cuteness. Roomy crotch. Full Body length zipper for easy diaper changes. Lined Hood.",nan
The Cashmere Teddy Kids Fleece PJs,850.0,the-cashmere-teddy-kids-fleece-pjs,shopify,nan,https://applemintandcocoa.com//products/the-cashmere-teddy-kids-fleece-pjs,2026/02/22 12:55:47 PM,Cozy up on those cold winter days in our ultra SOFT and FLUFFY plush fleece inside and out PJs. 100% Polyester. Emoridered applique. Elastic waist and a drawstring for a comfortable and secure fit. Bottom cuffs so the pants' legs don't ride up.,"The Cashmere Teddy Kids Fleece PJs - 2-3 Years, 3-4 Years, 4-5 Years, 5-6 Years, 6-7 Years, 8-9 Years, 10-11 Years, 12-13 Years: Cozy up on those cold winter days in our ultra SOFT and FLUFFY plush fleece inside and out PJs. 100% Polyester. Emoridered applique. Elastic waist and a drawstring for a comfortable and secure fit. Bottom cuffs so the pants' legs don't ride up.",nan
The Chasing Rainbows Girls Hoodie (HOODIE ONLY),450.0,the-rainbow-girls-hoodie-hoodie-only,shopify,nan,https://applemintandcocoa.com//products/the-rainbow-girls-hoodie-hoodie-only,2026/02/22 12:55:40 PM,Get cozy and look extra fresh in our cotton hoodies! Key Features: Outer Layer: 100% Cotton Inner Layer: Cotton Blend of+/- 60% Cotton & +/- 40% Polyester for extra thickness and warmth Kangaroo pocket.Functional drawstring hood,"The Chasing Rainbows Girls Hoodie (HOODIE ONLY) - 2-3 Years, 3-4 Years, 4-5 Years, 5-6 Years, 6-7 Years, 8-9 Years, 10-11 Years, 12-13 Years, 14-15 Years: Get cozy and look extra fresh in our cotton hoodies! Key Features: Outer Layer: 100% Cotton Inner Layer: Cotton Blend of+/- 60% Cotton & +/- 40% Polyester for extra thickness and warmth Kangaroo pocket.Functional drawstring hood",nan
The Checkered Girls Hoodie (HOODIE ONLY),450.0,the-as-cool-as-they-come-girls-hoodie-hoodie-only-copy,shopify,nan,https://applemintandcocoa.com//products/the-as-cool-as-they-come-girls-hoodie-hoodie-only-copy,2026/02/22 12:55:48 PM,Get cozy and look extra fresh in our cotton hoodies! Key Features: Outer Layer: 100% Cotton Inner Layer: Cotton Blend of+/- 60% Cotton & +/- 40% Polyester for extra thickness and warmth Kangaroo pocket.Functional hood,"The Checkered Girls Hoodie (HOODIE ONLY) - 2-3 Years, 3-4 Years, 4-5 Years, 5-6 Years, 6-7 Years, 8-9 Years, 10-11 Years, 12-13 Years, 14-15 Years: Get cozy and look extra fresh in our cotton hoodies! Key Features: Outer Layer: 100% Cotton Inner Layer: Cotton Blend of+/- 60% Cotton & +/- 40% Polyester for extra thickness and warmth Kangaroo pocket.Functional hood",nan
The Cheetah Cropped Girls Hoodie (HOODIE ONLY),450.0,the-cheetah-girls-hoodie-hoodie-only,shopify,nan,https://applemintandcocoa.com//products/the-cheetah-girls-hoodie-hoodie-only,2026/02/22 12:55:37 PM,Get cozy and look extra fresh in our cotton hoodies! Key Features: Outer Layer: 100% Cotton Inner Layer: Cotton Blend of+/- 60% Cotton & +/- 40% Polyester for extra thickness and warmth Kangaroo pocket.Functional drawstring hood,"The Cheetah Cropped Girls Hoodie (HOODIE ONLY) - 2-3 Years, 3-4 Years, 4-5 Years, 5-6 Years, 6-7 Years, 8-9 Years, 10-11 Years, 12-13 Years, 14-15 Years: Get cozy and look extra fresh in our cotton hoodies! Key Features: Outer Layer: 100% Cotton Inner Layer: Cotton Blend of+/- 60% Cotton & +/- 40% Polyester for extra thickness and warmth Kangaroo pocket.Functional drawstring hood",nan
The Code Set For Baby Boys (T-Shirt and Shorts ONLY),345.0,the-code-set-for-baby-boys,shopify,nan,https://applemintandcocoa.com//products/the-code-set-for-baby-boys,2026/02/22 12:55:38 PM,"Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:100% Single Jersey Cotton100% French Terry Cotton ( Lint treated) Key Features:Drawstring to secure fit.Non scratchy size tag on T-shirt.Outer Applemint & Cocoa tags. Washing Care:Machine wash, inside out, gentle cycle and in cold water only. Do not tumble dry. Disclaimer: The prints are random and the print on the size you order may differ from the size in the picture.","The Code Set For Baby Boys (T-Shirt and Shorts ONLY) - 0-3 Months, 3-6 Months, 6-9 Months, 9-12 Months, 12-18 Months, 18-24 Months: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:100% Single Jersey Cotton100% French Terry Cotton ( Lint treated) Key Features:Drawstring to secure fit.Non scratchy size tag on T-shirt.Outer Applemint & Cocoa tags. Washing Care:Machine wash, inside out, gentle cycle and in cold water only. Do not tumble dry. Disclaimer: The prints are random and the print on the size you order may differ from the size in the picture.",nan
The Code T-Shirt ONLY For Boys,199.0,the-code-t-shirt-only-for-boys,shopify,nan,https://applemintandcocoa.com//products/the-code-t-shirt-only-for-boys,2026/02/22 12:55:40 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:100% Cotton Disclaimer: The prints are random and the print on the size you order may differ from the size in the picture.,"The Code T-Shirt ONLY For Boys - 9-12 Months / T-shirt Only, 18-24 Months / T-shirt Only, 2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only, 14-15 Years / T-shirt Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:100% Cotton Disclaimer: The prints are random and the print on the size you order may differ from the size in the picture.",nan
The Code T-shirt ONLY For Men,320.0,the-code-t-shirt-only-for-men,shopify,nan,https://applemintandcocoa.com//products/the-code-t-shirt-only-for-men,2026/02/22 12:55:43 PM,Size & Fit:Slim fit. Runs SMALL. Please size up. Fabric:100% Cotton Disclaimer: The prints are random and the print on the size you order may differ from the size in the picture.,"The Code T-shirt ONLY For Men - Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only: Size & Fit:Slim fit. Runs SMALL. Please size up. Fabric:100% Cotton Disclaimer: The prints are random and the print on the size you order may differ from the size in the picture.",nan
The Coffee Stain T-shirt (ONLY) For Boys in Beige,299.0,the-coffee-for-boys-in-beige,shopify,nan,https://applemintandcocoa.com//products/the-coffee-for-boys-in-beige,2026/02/22 12:55:46 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:100% Cotton,"The Coffee Stain T-shirt (ONLY) For Boys in Beige - 6-9 Months / T-shirt Only, 2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:100% Cotton",nan
The Coffee Stain T-shirt (ONLY) For Men in Beige,249.0,coffee-for-men-in-beige,shopify,nan,https://applemintandcocoa.com//products/coffee-for-men-in-beige,2026/02/22 12:55:41 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:100% Cotton,"The Coffee Stain T-shirt (ONLY) For Men in Beige - Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:100% Cotton",nan
